QuestionId,SequenceId,QuizDevice
48,100412,8
53,100464,9
70,100662,8
84,100787,8
109,101062,7
151,101479,7
155,101516,9
156,101549,7
171,101748,7
196,102002,9
242,102481,23
292,103009,23
308,103161,23
332,103379,7
355,103663,23
364,103747,23
380,103928,9
387,104006,23
432,104443,8
480,104917,9
489,105030,8
493,105095,23
495,105116,9
502,105211,23
526,105580,8
531,105604,7
537,105638,9
538,105649,8
543,105717,7
566,105962,23
597,106310,23
600,106325,12
652,106834,23
757,107880,8
787,108138,23
800,108276,7
809,108345,7
814,108385,7
852,108819,9
856,108877,9
914,109347,7
951,109754,7
981,110067,9
1009,110553,7
1206,112418,7
1209,112466,9
1230,112697,23
1233,112727,9
1234,112734,7
1236,112761,8
1285,113218,8
1293,113381,7
1301,113464,23
1318,113634,8
1319,113643,9
1324,113695,7
1363,114177,9
1387,114538,7
1408,114770,9
1441,115027,8
1448,115108,7
1484,115397,7
1595,116421,23
1606,116588,23
1615,116674,9
1653,117118,8
1659,117155,7
1669,117235,8
1694,117465,8
1695,117466,7
1717,117656,23
1719,117664,8
1728,117732,23
1747,118056,7
1807,118582,9
1872,119332,9
1874,119365,9
1895,119659,7
1896,119671,9
1922,119944,8
1936,120066,23
1953,120255,9
1967,120379,23
1989,120547,23
2018,120817,9
2039,121083,9
2042,121108,9
2072,121435,7
2121,122010,8
2123,122019,7
2142,122194,9
2146,122210,7
2219,122894,7
2235,123149,8
2252,123348,7
2302,123827,9
2305,123868,7
2308,123887,9
2331,124109,7
2340,124206,9
2355,124334,8
2549,126224,7
2567,126446,7
2579,126556,23
2640,127112,9
2657,127264,8
2668,127362,7
2697,127679,7
2718,127869,23
2759,128280,9
2779,128469,9
2795,128718,9
2827,129164,8
2841,129272,9
2863,129586,8
2964,130638,8
3041,131538,8
3050,131643,9
3105,132113,23
3114,132175,8
3115,132189,9
3124,132263,9
3139,132387,8
3142,132413,7
3152,132471,8
3158,132547,7
3179,132738,8
3184,132771,9
3206,132970,9
3207,132985,9
3234,133237,8
3248,133372,9
3291,133769,23
3332,134172,7
3357,134436,8
3358,134438,7
3400,134820,23
3409,134878,9
3415,134934,7
3423,135030,12
3444,135224,9
3458,135381,23
3472,135561,7
3537,136094,9
3538,136111,9
3594,136640,7
3603,136708,9
3611,136803,8
3613,136843,8
3625,136976,23
3635,137088,23
3648,137235,7
3657,137331,8
3712,137932,7
3742,138285,7
3785,138728,23
3803,138913,7
3813,139028,7
3822,139163,7
3833,139265,9
3889,139900,23
3955,140520,7
3986,140904,7
4066,141740,8
4083,141958,23
4109,142158,7
4115,142211,9
4174,142867,8
4183,142987,9
4199,143152,9
4225,143369,7
4233,143475,7
4241,143549,8
4257,143675,7
4295,144137,8
4326,144457,8
4347,144641,9
4351,144662,8
4353,144693,7
4368,144823,8
4404,145227,7
4406,145256,7
4419,145407,9
4510,146376,9
4542,146712,7
4551,146805,7
4558,146883,23
4568,146986,7
4581,147118,7
4586,147170,9
4597,147284,7
4620,147511,8
4671,148085,8
4677,148159,9
4731,148754,8
4747,148897,23
4778,149188,7
4793,149323,9
4818,149572,7
4859,149929,9
4862,149979,9
4865,150015,8
4898,150330,9
4917,150528,9
4976,151105,7
5020,151483,9
5077,152025,7
5229,153780,7
5242,153911,23
5247,153986,23
5254,154051,23
5260,154115,8
5264,154148,8
5284,154409,7
5345,154951,7
5362,155098,8
5363,155104,23
5388,155344,7
5414,155596,8
5431,155800,7
5525,156664,23
5531,156747,7
5551,156928,7
5622,157497,7
5631,157604,23
5694,158123,7
5724,158437,9
5735,158571,8
5737,158580,9
5749,158727,8
5762,158788,23
5813,159229,23
5818,159261,9
5838,159538,7
5843,159571,9
5857,159715,9
5861,159743,9
5865,159784,7
5879,159940,8
5881,159968,7
5933,160495,7
5939,160516,7
5940,160517,23
5951,160599,7
5965,160706,8
5975,160797,8
6004,161118,7
6012,161184,23
6014,161203,7
6027,161302,9
6047,161516,23
6140,162424,23
6153,162536,23
6164,162625,9
6174,162764,7
6259,163631,23
6260,163643,23
6286,163880,8
6300,164050,9
6326,164318,8
6360,164712,7
6374,164879,7
6385,165051,23
6396,165151,23
6409,165258,9
6457,165762,8
6479,165997,9
6509,166412,8
6547,166834,7
6570,167023,12
6571,167031,8
6586,167154,9
6763,169045,23
6787,169222,8
6789,169233,12
6818,169569,8
6830,169665,9
6834,169713,23
6857,170045,23
6866,170132,8
6876,170286,8
6893,170421,7
6903,170539,7
6906,170579,7
6910,170643,9
6930,170881,8
6952,171084,7
6958,171162,23
6964,171216,7
6972,171273,8
6974,171284,9
6975,171310,23
6986,171395,23
6990,171418,23
6992,171423,7
6994,171437,8
6995,171448,7
7036,171976,8
7060,172251,7
7080,172446,7
7117,172842,7
7126,172888,23
7130,172934,7
7157,173167,7
7174,173338,8
7178,173378,23
7191,173513,23
7221,173816,9
7236,173946,23
7244,174032,8
7283,174396,23
7342,174951,9
7345,174983,23
7364,175160,7
7421,175718,7
7438,175908,7
7459,176044,8
7487,176290,9
7516,176547,7
7518,176570,8
7524,176669,23
7532,176747,23
7544,176858,8
7602,177408,8
7614,177532,7
7620,177567,9
7692,178387,23
7713,178608,7
7714,178652,7
7750,178983,7
7800,179491,7
7830,179833,7
7849,180001,23
7850,180009,7
7872,180314,23
7890,180470,7
7914,180708,8
7916,180733,7
7917,180749,8
7937,180917,8
7950,181025,23
7956,181111,12
7973,181199,23
7996,181379,7
8003,181422,23
8015,181529,23
8069,182043,8
8136,182643,9
8211,183462,23
8214,183503,9
8226,183609,23
8248,183839,9
8279,184161,7
8291,184292,7
8351,184747,8
8399,185252,9
8400,185254,9
8406,185305,8
8441,185679,9
8449,185762,7
8467,185988,9
8485,186180,9
8501,186344,7
8506,186399,23
8534,186641,8
8566,186897,8
8600,187253,8
8602,187269,7
8664,187900,8
8666,187908,8
8687,188103,8
8689,188107,9
8730,188449,12
8743,188565,7
8755,188718,8
8765,188828,8
8774,188909,12
8803,189208,23
8806,189249,8
8850,189881,7
8857,189969,7
8860,189983,23
8878,190239,8
8909,190621,8
8923,190741,23
8989,191393,23
9019,191736,23
9034,191886,8
9047,192007,8
9072,192306,8
9083,192412,9
9087,192502,8
9122,192805,9
9128,192851,23
9146,192980,7
9152,193048,9
9182,193386,7
9188,193450,9
9237,193860,7
9258,194031,9
9259,194047,9
9280,194281,9
9291,194411,8
9303,194504,8
9352,194898,7
9355,194905,9
9381,195093,7
9385,195155,23
9388,195179,8
9390,195184,9
9401,195251,7
9430,195453,7
9447,195651,8
9462,195891,8
9463,195897,7
9485,196091,23
9502,196317,7
9506,196361,23
9515,196490,7
9522,196570,7
9542,196738,23
9556,196887,8
9564,196967,8
9566,196980,23
9594,197206,9
9622,197453,8
9639,197628,8
9643,197682,7
9651,197757,23
9673,197971,8
9698,198234,8
9702,198279,9
9723,198432,9
9737,198615,23
9785,199016,9
9786,199030,8
9792,199093,7
9793,199101,9
9815,199279,7
9826,199355,8
9828,199387,23
9846,199555,23
9856,199624,8
9862,199677,7
9890,199961,7
9922,200237,7
9926,200289,9
9956,200613,7
9969,200725,8
9972,200765,8
10014,201138,8
10038,201332,7
10050,201480,7
10059,201624,23
10122,202284,23
10157,202609,8
10173,202757,7
10200,203015,12
10219,203159,23
10262,203566,8
10314,204111,23
10384,204816,9
10410,205063,8
10411,205071,7
10443,205349,8
10471,205632,23
10476,205689,9
10497,205933,23
10502,205982,8
10542,206421,7
10565,206614,9
10566,206624,23
10569,206663,8
10625,207189,7
10633,207273,7
10651,207459,7
10677,207663,7
10688,207717,8
10700,207853,23
10711,207941,8
10716,207988,9
10755,208395,7
10785,208703,23
10790,208739,9
10801,208843,12
10808,208934,9
10820,209066,7
10829,209230,7
10843,209336,9
10868,209589,8
10872,209618,23
10878,209672,7
10907,210041,7
10956,210520,7
11029,211247,7
11045,211463,7
11065,211703,8
11089,211994,8
11125,212365,23
11160,212667,8
11187,212894,23
11226,213235,9
11235,213337,8
11240,213362,7
11269,213654,8
11272,213686,8
11289,213870,9
11318,214125,7
11334,214276,23
11345,214388,8
11349,214412,8
11363,214491,7
11379,214657,7
11401,214826,9
11402,214831,8
11416,214930,23
11449,215360,8
11451,215374,7
11457,215431,7
11485,215669,9
11497,215808,9
11513,215953,9
11522,216018,8
11612,217000,23
11615,217006,8
11640,217176,9
11641,217181,9
11664,217404,7
11688,217611,8
11692,217645,7
11704,217781,7
11771,218405,9
11830,218916,8
11911,219829,7
11922,219951,7
11923,219958,23
11949,220146,7
12008,220628,8
12014,220705,23
12019,220751,23
12034,220929,8
12065,221190,8
12121,221763,9
12149,222059,9
12155,222112,7
12158,222133,12
12185,222377,7
12200,222639,7
12207,222736,8
12243,223081,9
12272,223330,7
12299,223603,8
12361,224182,9
12367,224267,7
12369,224308,7
12376,224361,8
12406,224659,8
12419,224758,7
12462,225172,9
12472,225293,9
12481,225375,9
12512,225689,8
12517,225718,7
12527,225814,9
12545,225963,7
12549,225979,9
12554,225996,8
12556,226010,9
12559,226054,8
12598,226468,9
12600,226472,23
12655,227001,8
12663,227043,7
12667,227078,9
12705,227447,7
12707,227456,8
12721,227644,23
12779,228138,7
12785,228189,8
12839,228788,8
12843,228837,9
12848,228861,8
12886,229167,8
12908,229387,7
12918,229482,23
12920,229507,9
12938,229654,7
12971,229982,8
12980,230040,8
12981,230042,9
13057,230707,7
13088,230976,23
13092,231051,7
13098,231120,7
13157,231748,8
13159,231796,8
13210,232285,7
13220,232361,12
13238,232504,9
13284,232965,8
13297,233115,7
13298,233124,8
13320,233403,7
13331,233468,23
13346,233646,9
13357,233730,23
13393,234033,9
13479,234879,8
13510,235233,8
13521,235377,12
13555,235867,9
13581,236156,7
13604,236383,9
13634,236621,7
13636,236637,23
13692,237150,7
13717,237332,7
13763,237827,7
13789,238060,7
13796,238141,9
13828,238439,12
13875,238906,9
13936,239495,8
13941,239552,7
13978,239999,7
13979,240040,23
13984,240095,23
14011,240406,7
14025,240508,23
14028,240542,23
14035,240602,7
14097,241249,7
14115,241450,23
14117,241470,7
14127,241711,23
14133,241738,23
14141,241777,7
14171,242094,8
14192,242272,7
14204,242385,8
14212,242475,9
14240,242885,8
14247,242969,8
14250,242979,8
14291,243401,8
14319,243638,23
14337,243793,8
14342,243822,7
14367,244058,9
14381,244160,9
14383,244230,8
14527,245547,7
14534,245644,23
14544,245743,23
14584,246192,9
14597,246287,7
14627,246573,7
14640,246719,23
14644,246749,7
14682,247155,23
14711,247434,8
14720,247498,8
14744,247770,8
14762,247927,7
14763,247929,23
14788,248180,23
14795,248264,8
14821,248509,8
14844,248742,8
14854,248789,8
14878,249031,9
14879,249039,8
14904,249269,7
14908,249317,23
14909,249334,8
14911,249345,7
14967,249950,8
14970,249964,8
14994,250091,9
15033,250527,23
15046,250674,9
15047,250683,23
15057,250845,9
15084,251045,7
15086,251065,9
15101,251194,23
15120,251344,9
15174,251886,8
15181,251930,7
15216,252287,7
15218,252353,9
15232,252446,7
15286,252874,9
15320,253241,9
15337,253412,8
15350,253511,9
15357,253608,9
15382,253849,9
15438,254386,23
15442,254412,9
15452,254510,23
15474,254747,7
15476,254769,7
15479,254834,9
15505,255119,9
15509,255140,7
15521,255213,9
15539,255482,9
15589,256160,7
15621,256527,8
15687,257347,9
15690,257367,8
15721,257695,9
15734,257814,23
15743,257885,23
15745,257888,9
15777,258247,7
15836,258987,23
15870,259366,23
15893,259558,8
15914,259799,8
15936,259984,7
15942,260055,8
15956,260206,9
16001,260682,9
16008,260793,8
16012,260822,23
16015,260832,7
16030,261041,7
16063,261415,8
16078,261553,8
16090,261658,8
16160,262348,9
16185,262595,8
16208,262768,7
16215,262811,8
16229,262965,9
16244,263134,7
16255,263231,23
16278,263549,8
16279,263570,7
16284,263633,9
16347,264147,8
16360,264295,7
16420,264835,23
16454,265142,7
16471,265323,7
16501,265630,7
16542,266048,23
16561,266307,9
16585,266562,7
16591,266608,9
16606,266755,9
16658,267266,7
16671,267311,9
16678,267373,9
16699,267514,8
16703,267549,8
16721,267741,9
16727,267761,7
16757,268057,23
16861,269095,7
16897,269523,8
16921,269744,7
16945,269904,8
17008,270449,8
17010,270465,23
17029,270688,7
17056,270926,9
17065,271061,7
17077,271157,8
17131,271674,23
17155,271901,7
17178,272136,8
17193,272263,7
17199,272329,7
17213,272483,9
17221,272557,7
17281,273060,23
17312,273315,7
17370,273924,9
17392,274103,8
17416,274345,8
17440,274564,23
17455,274683,7
17463,274780,8
17488,274975,7
17526,275372,7
17562,275730,9
17588,275985,7
17634,276405,7
17657,276752,8
17662,276804,23
17736,277595,8
17745,277635,7
17813,278262,7
17846,278605,23
17847,278620,8
17907,279317,8
17919,279473,7
17934,279622,23
17939,279651,8
17943,279679,8
17974,280042,9
17996,280182,8
17997,280204,8
18018,280389,9
18041,280607,8
18054,280740,7
18101,281213,7
18113,281285,23
18127,281410,8
18133,281473,23
18143,281546,23
18146,281560,23
18151,281619,8
18168,281826,7
18180,281923,9
18233,282454,7
18292,283058,9
18298,283157,8
18316,283317,23
18342,283514,7
18355,283615,8
18371,283768,23
18376,283819,7
18458,284553,8
18494,284986,8
18498,285068,7
18550,285524,7
18573,285783,9
18574,285797,23
18588,285901,7
18591,285926,7
18607,286076,7
18615,286187,7
18633,286324,9
18663,286573,9
18684,286807,23
18703,286972,8
18741,287262,23
18795,287803,8
18796,287805,23
18817,287970,9
18876,288745,8
19002,290067,8
19012,290136,9
19046,290486,8
19055,290574,23
19057,290579,8
19058,290583,23
19101,290966,23
19102,290979,9
19128,291346,8
19204,291994,7
19216,292158,7
19269,292679,23
19287,292936,7
19365,293798,7
19376,293906,8
19381,293950,23
19436,294435,23
19457,294607,8
19532,295388,23
19540,295510,9
19553,295669,7
19565,295783,23
19571,295824,23
19605,296101,12
19620,296225,8
19672,296852,7
19682,296910,7
19689,297010,7
19708,297212,9
19710,297219,8
19742,297548,7
19836,298481,8
19887,298943,23
19896,299016,12
19963,299635,8
19964,299638,7
19971,299679,9
20092,300850,9
20096,300878,9
20108,301016,23
20110,301024,8
20114,301061,7
20165,301565,23
20225,302093,9
20232,302153,9
20310,302841,23
20321,302891,9
20333,303025,9
20343,303078,7
20353,303165,9
20442,304108,8
20463,304447,8
20474,304502,9
20512,304888,8
20660,306503,12
20684,306814,9
20685,306842,7
20700,306993,7
20815,308002,7
20885,308512,9
20900,308606,9
20903,308663,9
20939,308883,7
20941,308897,7
20952,309029,9
20963,309090,8
20968,309128,9
20971,309150,8
20984,309296,8
21009,309494,7
21077,310246,7
21114,310643,8
21116,310679,7
21129,310836,8
21136,310933,9
21161,311245,9
21221,311702,9
21262,312065,23
21268,312158,23
21292,312494,7
21320,312754,8
21343,312955,23
21379,313283,12
21442,313923,8
21445,313945,7
21459,314075,9
21490,314441,8
21585,315210,7
21591,315282,23
21649,315925,23
21666,316091,7
21690,316457,8
21700,316592,7
21723,316864,8
21732,316918,8
21763,317229,9
21777,317395,7
21795,317644,9
21799,317709,9
21822,317905,9
21936,319191,7
21946,319252,7
22046,320228,9
22048,320230,7
22064,320344,23
22103,320752,7
22139,321017,8
22142,321054,23
22158,321172,7
22162,321218,8
22195,321543,8
22246,322068,23
22268,322287,23
22288,322468,9
22290,322476,8
22299,322540,8
22314,322674,9
22322,322757,23
22372,323181,23
22380,323247,8
22384,323282,7
22432,323812,7
22434,323831,8
22450,324005,8
22451,324009,8
22476,324225,7
22488,324318,8
22494,324373,7
22499,324428,8
22531,324756,7
22533,324765,9
22586,325221,7
22596,325345,7
22602,325392,23
22634,325665,7
22635,325666,7
22641,325713,23
22648,325762,23
22651,325815,9
22672,326030,8
22708,326441,8
22713,326503,7
22740,326716,23
22765,326895,23
22781,327117,8
22788,327194,8
22799,327278,23
22802,327319,8
22830,327642,8
22838,327736,23
22848,327849,9
22918,328656,8
22922,328692,7
22953,328945,8
22969,329074,9
22975,329127,23
23003,329394,8
23005,329438,7
23012,329548,8
23024,329656,9
23069,330147,7
23093,330330,8
23096,330393,7
23129,330683,7
23173,330989,7
23184,331111,7
23210,331424,9
23240,331692,8
23244,331712,7
23260,331846,9
23264,331871,23
23299,332259,9
23320,332406,23
23336,332550,7
23404,333353,9
23408,333397,23
23440,333733,8
23449,333822,23
23454,333874,8
23500,334372,7
23519,334554,7
23520,334575,7
23527,334616,9
23581,335209,8
23597,335315,7
23612,335486,7
23633,335712,9
23639,335750,8
23652,335880,7
23673,336175,7
23687,336279,12
23694,336369,9
23747,336894,7
23763,337113,23
23778,337219,7
23829,337735,9
23853,337896,7
23887,338297,7
23906,338378,7
23913,338497,23
23951,338892,23
23966,339051,23
23967,339059,9
23976,339171,9
